prpp,SCC,Damages
0.014,30,baseline
0.014,30,baseline
0.014,134,HSP
0.014,11,baseline
0.014,34,baseline
0.014,39,baseline
0.014,24,baseline
0.014,48,HSP
0.014,45,HSP
0.014,152,HSP
0.014,13,baseline
0.014,10,baseline
0.014,44,baseline
0.014,57,HSP
0.014,45,HSP
0.014,197,HSP
0.005,75,baseline
0.005,79,baseline
0.005,331,HSP
0.005,86,baseline
0.005,100,baseline
0.005,351,HSP
0.005,92,baseline
0.005,107,baseline
0.005,405,HSP
0.005,473,HSP
0.005,124,baseline
0.005,547,HSP
0.001,290,baseline
0.001,328,baseline
0.001,1280,HSP
0.001,338,baseline
0.001,400,baseline
0.001,1450,HSP
0.001,382,baseline
0.001,454,baseline
0.001,1690,HSP
0.001,2000,HSP
0.001,528,baseline
0.001,2330,HSP