 Year,Emissions Control Rate
2020,0.05
2025,0.1
2030,0.219802202
2035,0.249033846
2040,0.283310318
2045,0.319581674
2050,0.359745879
2055,0.392895219
2060,0.428207644
2065,0.465735365
2070,0.505509431
2075,0.547549694
2080,0.59615113
2085,0.64351178
2090,0.693271151
2095,0.745426121
2100,0.799951025
2105,0.851583243
2110,0.939909785
2115,0.991942151
2120,1.045556127
2125,1.1
2130,1.1
2135,1.1
2140,1.1
2145,1.1
2150,1.1
2155,1.1
2160,1.1
2165,1.1
2170,1.1
2175,1.1
2180,1.1
2185,1.1
2190,1.1
2195,1.1
2200,1.1
2205,1.05
2210,1.05
2215,1.05
2220,1.05
2225,1.05
2230,1.05
2235,1.05
2240,1.05
2245,1.05
2250,1.05
2255,1.05
2260,1.05
2265,1.05
2270,1.05
2275,1.05
2280,1.05
2285,1.05
2290,1.05
2295,1.05
2300,1.05